Track ID,Name,Artist,Album,Genre,Total Time (ms),Date Added,Play Count,Skip Count
1631,Temperature,Sean Paul,The Trinity,Pop,218573,2020-12-27 07:22:56,22.0,5.0
1633,One More Night,Maroon 5,Overexposed (Deluxe Version),Pop,219392,2020-12-27 07:40:50,28.0,1.0
1635,From Paris to Berlin,Infernal,From Paris to Berlin,Pop,209880,2020-12-28 04:46:50,25.0,1.0
1637,Hope,XXXTENTACION,?,Pop,110886,2021-01-02 06:11:18,24.0,9.0
1639,Often (Kygo Remix),The Weeknd,Often (Kygo Remix) - Single,R&B/Soul,234400,2021-01-07 06:35:34,39.0,4.0
1641,Animals,Maroon 5,V (Deluxe),Pop,231079,2021-01-09 19:59:56,36.0,4.0
1643,Hadal Ahbek,Issam Alnajjar,Hadal Ahbek - Single,Pop,209684,2021-01-14 17:30:57,47.0,5.0
1645,positions,Ariana Grande,Positions,Pop,172325,2021-01-24 04:46:05,29.0,2.0
1647,Halsey - BALENCIAGA [Bass Boosted],,,,167784,2021-01-08 02:19:59,13.0,8.0
1649,Dangerous (feat. Akon),Kardinal Offishall,Not 4 Sale,Hip-Hop/Rap,246053,2021-02-04 01:29:10,28.0,4.0
1651,Mystery Lady,Masego & Don Toliver,Mystery Lady - Single,R&B/Soul,228453,2021-02-13 16:30:19,6.0,4.0
1653,Call Out My Name,The Weeknd,"My Dear Melancholy,",R&B/Soul,228382,2021-02-21 02:22:39,6.0,1.0
1655,Hurt You,The Weeknd & Gesaffelstein,"My Dear Melancholy,",R&B/Soul,230028,2021-02-21 02:26:19,2.0,4.0
1657,Lust for Life (feat. The Weeknd),Lana Del Rey,Lust for Life,Alternative,264066,2021-02-21 02:26:52,6.0,
1659,Моя голова винтом,kostromin,Моя голова винтом - Single,Pop,140000,2021-02-24 07:33:00,5.0,2.0
1661,SexyBack (feat. Timbaland),Justin Timberlake,FutureSex/LoveSounds (Deluxe Edition),Pop,242800,2021-02-27 01:40:31,6.0,2.0
1663,My Love (feat. T.I.),Justin Timberlake,FutureSex/LoveSounds (Deluxe Edition),Pop,276160,2021-02-27 01:40:53,17.0,1.0
1665,Whatcha Say,Jason Derulo,Jason Derulo,Pop,221253,2021-02-27 05:24:38,14.0,2.0
1667,Everytime We Touch,Cascada,Back On the Dancefloor,Dance,197124,2021-03-02 03:45:39,19.0,3.0
1669,Kiss Me Thru the Phone (feat. Sammie),Soulja Boy Tell 'Em,iSouljaBoyTellem,Hip-Hop/Rap,193387,2021-03-03 20:34:12,16.0,3.0
1671,Bottoms Up (feat. Nicki Minaj),Trey Songz,"Passion, Pain & Pleasure (Deluxe Version)",R&B/Soul,242013,2021-03-03 20:39:52,8.0,7.0
1673,Never Be Like You (feat. Kai),Flume,Skin,Electronic,234910,2021-03-05 06:07:26,15.0,4.0
1675,Umbrella (feat. JAY-Z),Rihanna,Good Girl Gone Bad: Reloaded,Pop,276136,2021-03-04 21:11:50,36.0,4.0
1677,Hypnotized,Purple Disco Machine & Sophie and the Giants,Hypnotized - Single,Dance,195704,2021-03-25 04:20:44,59.0,16.0
1679,Gillette (feat. DrDisrespect),199X,Gillette (feat. DrDisrespect) - Single,Electronic,120000,2021-04-08 23:54:34,106.0,2.0
1681,Lovefool,twocolors,Lovefool - Single,Dance,190488,2021-04-17 07:10:03,55.0,10.0
1683,You're Perfect,Charly Black,You're Perfect - Single,Dance,196973,2021-05-04 07:50:26,72.0,5.0
1685,Maps,Maroon 5,V (Deluxe),Pop,190108,2021-05-19 00:49:32,64.0,3.0
1687,good 4 u,Olivia Rodrigo,SOUR,Pop,178148,2021-05-24 06:16:57,37.0,3.0
